epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,,,
109,1916.33,0.88883,0.52911,0.84414,0.84443,0.69137,0.76336,0.59206,0.9324,0.50525,0.87293,0.002872,0.002872,0.002872,,,
110,1985.6,0.87782,0.52357,0.84033,0.84905,0.69639,0.76711,0.58862,0.95315,0.5054,0.87704,0.002806,0.002806,0.002806,,,
111,2052.57,0.87627,0.52414,0.8399,0.88888,0.72382,0.77775,0.62501,0.93525,0.50092,0.87327,0.00274,0.00274,0.00274,,,
112,2121.81,0.87454,0.52144,0.83965,0.89458,0.72292,0.77828,0.62444,0.94126,0.50455,0.87384,0.002674,0.002674,0.002674,,,
113,2189.5,0.88063,0.52599,0.84129,0.89691,0.72655,0.78209,0.62802,0.92149,0.49665,0.87021,0.002608,0.002608,0.002608,,,
114,2258.77,0.8732,0.51863,0.83926,0.89921,0.72231,0.78705,0.63331,0.90145,0.49581,0.86807,0.002542,0.002542,0.002542,,,
115,2325.65,0.87173,0.51872,0.83787,0.85331,0.69643,0.76278,0.59092,0.93963,0.49828,0.87429,0.002476,0.002476,0.002476,,,
116,2394.93,0.8655,0.51491,0.83847,0.84975,0.70067,0.76109,0.59357,0.91997,0.4935,0.87048,0.00241,0.00241,0.00241,,,
117,2459.06,0.86801,0.51633,0.83901,0.85344,0.69634,0.76251,0.59534,0.9123,0.49342,0.86889,0.002344,0.002344,0.002344,,,
118,2522.83,0.86371,0.51051,0.8359,0.89496,0.72026,0.7752,0.63026,0.91093,0.49193,0.86919,0.002278,0.002278,0.002278,,,
119,2586.6,0.86139,0.51191,0.83659,0.85938,0.69743,0.76533,0.59508,0.92114,0.49241,0.87095,0.002212,0.002212,0.002212,,,
120,2650.46,0.85751,0.50756,0.83708,0.86555,0.69664,0.76961,0.59572,0.89865,0.49015,0.86872,0.002146,0.002146,0.002146,,,
