epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,9079.66,0.69165,0.42027,0.87194,0.92011,0.8893,0.94418,0.75428,0.67576,0.38957,0.87051,0.004852,0.004852,0.004852
67,9215.44,0.68417,0.41962,0.86669,0.92725,0.89496,0.94452,0.75558,0.68036,0.38867,0.87123,0.0047728,0.0047728,0.0047728
68,9354.9,0.68115,0.41629,0.86892,0.94063,0.88573,0.94625,0.75708,0.6737,0.38498,0.86788,0.0046936,0.0046936,0.0046936
69,9490.78,0.67734,0.41368,0.86654,0.92148,0.88759,0.9455,0.7545,0.67152,0.38551,0.86696,0.0046144,0.0046144,0.0046144
70,9627.64,0.68009,0.41524,0.8676,0.93704,0.88064,0.94423,0.7569,0.66996,0.38319,0.86667,0.0045352,0.0045352,0.0045352
71,9767.64,0.67292,0.41188,0.86539,0.94545,0.87449,0.94402,0.75944,0.66407,0.38073,0.86306,0.004456,0.004456,0.004456
72,9903.4,0.66911,0.40929,0.86517,0.94276,0.87819,0.94654,0.75935,0.66245,0.37938,0.86778,0.0043768,0.0043768,0.0043768
73,10039.1,0.66528,0.40783,0.8636,0.94534,0.87303,0.94329,0.75865,0.6656,0.3813,0.86553,0.0042976,0.0042976,0.0042976
74,10178,0.66166,0.40461,0.86289,0.91392,0.89807,0.94205,0.75392,0.66178,0.3802,0.86493,0.0042184,0.0042184,0.0042184
75,10315.5,0.65391,0.39964,0.86228,0.93677,0.88336,0.94758,0.76336,0.65926,0.37739,0.86182,0.0041392,0.0041392,0.0041392
76,10450.9,0.6537,0.39775,0.8592,0.93662,0.89192,0.94888,0.77035,0.65677,0.37687,0.86234,0.00406,0.00406,0.00406
77,10590.5,0.65446,0.39853,0.86009,0.9425,0.88927,0.94764,0.77116,0.6561,0.37494,0.8594,0.0039808,0.0039808,0.0039808
78,10726.6,0.64748,0.39379,0.85754,0.93948,0.89403,0.94738,0.77082,0.65651,0.3742,0.86219,0.0039016,0.0039016,0.0039016
79,10863.7,0.64958,0.39455,0.86058,0.94001,0.89405,0.94711,0.77048,0.65105,0.37258,0.86123,0.0038224,0.0038224,0.0038224
80,11002.2,0.64524,0.39375,0.85831,0.9405,0.9019,0.94803,0.76704,0.64827,0.36948,0.85731,0.0037432,0.0037432,0.0037432
81,11139.1,0.63777,0.3866,0.85583,0.94582,0.87958,0.94813,0.77404,0.6436,0.37082,0.85743,0.003664,0.003664,0.003664
82,11274.9,0.63742,0.38788,0.85506,0.94039,0.89263,0.95084,0.77457,0.64483,0.36753,0.85997,0.0035848,0.0035848,0.0035848
83,11414.7,0.63466,0.38512,0.8549,0.93816,0.89603,0.95042,0.77203,0.64628,0.36681,0.86277,0.0035056,0.0035056,0.0035056
84,11550.5,0.63214,0.38587,0.85333,0.93108,0.89874,0.9513,0.77527,0.64161,0.36543,0.85771,0.0034264,0.0034264,0.0034264
