epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,4310.99,0.66361,0.44466,0.02237,0.02327,0.70678,0.68167,0.74618,0.54156,0.98085,0.73415,0.02797,0.02856,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4396.01,0.66149,0.44345,0.02229,0.02363,0.77891,0.75253,0.8126,0.63086,0.80881,0.52794,0.02791,0.02749,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4483.71,0.67555,0.4442,0.02273,0.02408,0.72446,0.72931,0.78735,0.5877,0.93108,0.59793,0.02812,0.02872,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4571.72,0.66532,0.442,0.0227,0.02304,0.83789,0.75257,0.84264,0.66515,0.74723,0.46722,0.02837,0.02836,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4659.63,0.67178,0.44801,0.02246,0.0245,0.73264,0.73101,0.80438,0.62207,0.99022,0.65085,0.02807,0.02864,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4745.9,0.66,0.44428,0.02245,0.02279,0.70085,0.70572,0.7679,0.56367,0.9553,0.73227,0.02821,0.02808,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4835.53,0.66695,0.44621,0.02227,0.02276,0.73596,0.79826,0.82629,0.66414,0.72892,0.4654,0.02798,0.02658,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4923.21,0.65014,0.42744,0.02227,0.02186,0.78021,0.778,0.82678,0.63375,0.82709,0.51799,0.0278,0.02658,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,5011.09,0.6585,0.43119,0.0224,0.02297,0.75503,0.77436,0.8124,0.62327,0.88792,0.55746,0.02837,0.02744,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,5098.58,0.66127,0.42522,0.02279,0.02151,0.79556,0.76591,0.82327,0.63539,0.84049,0.51918,0.02882,0.02725,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,5187.04,0.66304,0.43362,0.02273,0.02282,0.77951,0.73979,0.82043,0.62555,0.85268,0.55699,0.02869,0.02763,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5274.2,0.65713,0.43479,0.02265,0.02192,0.79942,0.77242,0.84573,0.6459,0.82695,0.50078,0.02837,0.02682,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,5363.32,0.65262,0.42175,0.02253,0.0213,0.75559,0.75206,0.81218,0.62475,1.01009,0.71551,0.02819,0.02699,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,5450.61,0.64311,0.4185,0.02265,0.02207,0.83637,0.76717,0.85541,0.65395,0.88144,0.52053,0.02848,0.02657,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
